Year,Date,Gender,Cause of Death /Weapon
2006,1/8/06,M,Gunshot
2006,1/8/06,F,Gunshot
2006,1/29/06,M,Gunshot
2006,1/29/06,M,Gunshot
2006,2/10/06,M,Gunshot
2006,2/10/06,M,Gunshot
2006,2/21/06,M,Gunshot
2006,3/13/06,M,Gunshot
2006,3/12/06,M,Trauma
2006,4/7/06,M,Trauma
2006,4/7/06,M,Gunshot
2006,4/15/06,F,Trauma
2006,4/17/06,M,Stabbing
2006,4/19/06,M,Gunshot
2006,4/30/06,M,Gunshot
2006,4/30/06,F,Trauma
2006,5/2/06,M,Stabbing
2006,5/4/06,M,Gunshot
2006,5/6/06,M,Gunshot
2006,5/5/06,M,Gunshot
2006,5/6/06,M,Gunshot
2006,5/18/06,M,Gunshot
2006,5/26/06,M,Gunshot
2006,5/30/06,M,Gunshot
2006,6/1/06,M,Stabbing
2006,6/7/06,M,Gunshot
2006,6/7/06,M,Gunshot
2006,6/11/06,M,Gunshot
2006,6/12/06,M,Stabbing
2006,6/12/06,F,Gunshot
2006,6/16/06,M,Gunshot
2006,6/19/06,M,Stabbing
2006,6/22/06,M,Stabbing
2006,6/24/06,M,Gunshot
2006,6/25/06,M,Gunshot
2006,6/26/06,M,Trauma
2006,7/12/06,M,Gunshot
2006,7/15/06,M,Trauma
2006,7/15/06,M,Gunshot
2006,7/16/06,M,Gunshot
2006,7/19/06,M,Gunshot
2006,7/21/06,M,Gunshot
2006,7/22/06,F,Gunshot
2006,7/24/06,M,Gunshot
2006,7/24/06,M,Gunshot
2006,7/25/06,M,Gunshot
2006,7/27/06,M,Gunshot
2006,8/1/06,M,Gunshot
2006,08/31/06,M,Gunshot
2006,9/8/06,M,Gunshot
2006,9/13/06,M,Gunshot
2006,9/15/06,M,Stabbing
2006,9/16/06,M,Gunshot
2006,9/30/06,M,Gunshot
2006,10/12/06,M,Gunshot
2006,10/12/06,M,Stabbing
2006,10/13/06,M,Gunshot
2006,10/14/06,M,Gunshot
2006,10/16/06,M,Gunshot
2006,10/22/06,M,Gunshot
2006,10/26/06,M,Stabbing
2007,1/1/07,M,Gunshot
2007,1/12/07,M,Gunshot
2007,1/27/07,M,Gunshot
2007,2/7/07,M,Gunshot
2007,2/8/07,M,Gunshot
2007,2/13/07,M,Gunshot
2007,2/18/07,M,Gunshot
2007,2/21/07,M,Gunshot
2007,2/27/07,M,Gunshot
2007,3/9/07,F,Gunshot
2007,3/11/07,M,Stabbing
2007,3/14/07,M,Gunshot
2007,3/24/07,F,Gunshot
2007,3/28/07,M,Gunshot
2007,3/30/07,M,Gunshot
2007,3/30/07,M,Gunshot
2007,4/8/07,M,Gunshot
2007,4/25/07,M,Stabbing
2007,4/26/07,M,Trauma
2007,5/5/07,M,Stabbing
2007,5/15/07,M,Gunshot
2007,5/15/07,M,Gunshot
2007,5/19/07,M,Gunshot
2007,5/22/07,M,Stabbing
2007,6/3/07,M,Gunshot
2007,6/5/07,M,Gunshot
2007,6/10/07,M,Gunshot
2007,6/17/07,M,Stabbing
2007,6/17/07,M,Gunshot
2007,6/22/07,M,Gunshot
2007,6/24/07,M,Gunshot
2007,7/1/07,M,Gunshot
2007,7/4/07,M,Gunshot
2007,7/11/07,M,Gunshot
2007,7/12/07,M,Gunshot
2007,7/12/07,M,Gunshot
2007,6/5/07,M,Trauma
2007,7/21/07,M,Gunshot
2007,7/29/07,M,Trauma
2007,7/29/07,F,Trauma
2007,8/2/07,M,Gunshot
2007,8/2/07,M,Gunshot
2007,8/3/07,F,Trauma
2007,8/4/07,F,Gunshot
2007,8/4/07,M,Gunshot
2007,8/4/07,M,Stabbing
2007,8/19/07,F,Gunshot
2007,9/4/07,M,Gunshot
2007,9/17/07,M,Gunshot
2007,9/20/07,M,Gunshot
2007,9/26/07,M,Stabbing
2007,10/4/07,M,Gunshot
2007,10/7/07,M,Gunshot
2007,10/12/07,M,Stabbing
2007,10/14/07,M,Gunshot
2007,10/16/07,F,Gunshot
2007,10/17/07,M,Gunshot
2007,10/20/07,M,Gunshot
2007,10/26/07,M,Gunshot
2007,11/1/07,M,Gunshot
2007,11/14/07,M,Gunshot
2007,11/21/07,M,Stabbing
2007,11/20/07,M,Gunshot
2007,11/23/07,M,Gunshot
2007,12/21/07,M,
2007,12/21/07,M,
2008,1/6/08,M,Gunshot
2008,1/7/08,M,Gunshot
2008,1/12/08,M,Gunshot
2008,1/15/08,M,Gunshot
2008,1/16/08,M,Gunshot
2008,1/17/08,M,Gunshot
2008,1/17/08,M,Stabbing
2008,1/18/08,M,Gunshot
2008,2/3/08,M,Gunshot
2008,2/10/08,M,Stabbing
2008,2/11/08,M,Gunshot
2008,3/7/08,M,Stabbing
2008,3/9/08,F,Stabbing
2008,3/19/08,M,Gunshot
2008,3/29/08,M,Gunshot
2008,4/6/08,F,Burns
2008,4/6/08,F,Burns
2008,4/7/08,M,Gunshot
2008,4/16/08,M,Gunshot
2008,5/2/08,M,Gunshot
2008,5/11/08,M,Stabbing
2008,5/17/08,M,Gunshot
2008,5/20/08,F,Gunshot
2008,5/28/08,M,Gunshot
2008,5/31/08,M,Stabbing
2008,6/10/08,F,Stabbing
2008,6/18/08,M,Gunshot
2008,6/19/08,M,Gunshot
2008,6/28/08,M,Gunshot
2008,7/2/08,F,Gunshot
2008,7/4/08,M,Trauma
2008,7/4/08,M,Gunshot
2008,7/5/08,M,Gunshot
2008,7/12/08,M,Gunshot
2008,7/14/08,M,Gunshot
2008,7/19/08,M,Gunshot
2008,7/23/08,M,Gunshot
2008,7/29/08,M,Stabbing
2008,8/22/08,M,Gunshot
2008,8/25/08,M,Stabbing
2008,8/27/08,M,Stabbing
2008,9/5/08,F,Gunshot
2008,9/5/08,M,Stabbing
2008,9/15/08,M,Gunshot
2008,9/18/08,M,Gunshot
2008,9/21/08,M,Gunshot
2008,9/28/08,F,Gunshot
2008,10/6/08,M,Gunshot
2008,10/11/08,M,Stabbing
2008,10/25/08,M,Gunshot
2008,10/30/08,M,Gunshot
2008,10/30/08,M,Gunshot
2008,11/2/08,M,Gunshot
2008,11/9/08,F,Gunshot
2008,11/25/08,M,Gunshot
2008,11/27/08,M,Gunshot
2008,11/27/08,M,Gunshot
2008,12/1/08,M,Gunshot
2008,12/3/08,M,Gunshot
2008,12/8/08,M,Gunshot
2008,12/22/08,M,Gunshot
2008,12/25/08,M,Gunshot
2008,12/29/08,M,Gunshot
2008,10/7/06,M,Gunshot
2009,1/7/09,M,Gunshot
2009,1/16/09,M,Gunshot
2009,1/27/09,M,Gunshot
2009,2/11/09,M,Gunshot
2009,2/15/09,F,Stabbing
2009,3/11/09,M,Gunshot
2009,3/20/09,M,Gunshot
2009,3/23/09,M,Trauma
2009,3/28/09,,Gunshot
2009,3/29/09,F,Gunshot
2009,3/29/09,M,Gunshot
2009,3/29/09,F,Gunshot
2009,4/9/09,M,Gunshot
2009,4/12/09,M,Gunshot
2009,4/14/09,F,Gunshot
2009,4/24/09,M,Gunshot
2009,5/4/09,M,Gunshot
2009,5/3/09,M,Stabbing
2009,5/7/09,M,Gunshot
2009,5/8/09,M,Stabbing
2009,5/14/09,M,Gunshot
2009,5/21/09,F,Gunshot
2009,2/26/09,F,Strangulation
2009,6/5/09,M,Gunshot
2009,7/13/08,M,Trauma
2009,7/4/09,M,Gunshot
2009,7/8/09,M,Stabbing
2009,7/27/09,M,Stabbing
2009,7/26/09,M,Stabbing
2009,8/2/09,M,Gunshot
2009,8/2/09,M,Gunshot
2009,8/21/09,M,Trauma
2009,8/22/09,M,Stabbing
2009,8/24/09,M,Gunshot
2009,8/25/09,F,Gunshot
2009,8/29/09,M,
2009,9/20/09,F,Gunshot
2009,9/20/09,M,Gunshot
2009,10/16/09,M,Gunshot
2009,11/3/09,M,Gunshot
2009,11/8/09,M,Stabbing
2009,11/13/09,M,Gunshot
2009,11/16/09,M,Gunshot
2009,12/5/09,F,Trauma
2009,12/20/09,M,Gunshot
2009,12/23/09,F,Strangulation
2009,12/26/09,M,Gunshot
2010,1/1/10,M,Gunshot
2010,1/5/10,M,Gunshot
2010,1/7/10,M,Gunshot
2010,1/24/10,M,Gunshot
2010,2/10/10,M,Gunshot
2010,2/21/10,M,Gunshot
2010,2/27/10,M,Gunshot
2010,2/28/10,M,Stabbing
2010,3/1/10,M,Gunshot
2010,3/3/10,M,Gunshot
2010,3/16/10,M,Gunshot
2010,3/28/10,M,Gunshot
2010,3/29/10,M,Gunshot
2010,3/30/10,M,Gunshot
2010,3/31/10,M,Gunshot
2010,4/3/10,M,Stabbing
2010,4/19/10,M,Gunshot
2010,4/30/10,M,Stabbing
2010,5/2/10,M,Gunshot
2010,5/7/10,M,Gunshot
2010,5/8/10,M,Gunshot
2010,5/20/10,M,Gunshot
2010,5/22/10,F,Gunshot
2010,4/19/89,M,Gunshot
2010,5/28/10,M,Gunshot
2010,5/30/10,M,Gunshot
2010,5/30/10,M,Gunshot
2010,5/31/10,M,Stabbing
2010,6/8/10,M,Stabbing
2010,4/11/10,F,Trauma
2010,7/2/10,M,Gunshot
2010,7/4/10,M,Gunshot
2010,12/28/09,F,Strangulation
2010,7/20/10,M,Gunshot
2010,7/25/10,M,Gunshot
2010,7/28/10,M,Gunshot
2010,8/12/10,M,Gunshot
2010,8/14/10,M,Laceration
2010,8/17/10,M,Gunshot
2010,8/18/10,M,Stabbing
2010,8/27/10,M,Trauma
2010,8/28/10,M,Gunshot
2010,8/28/10,M,Gunshot
2010,8/28/10,M,Gunshot
2010,9/1/10,M,Stabbing
2010,9/2/10,M,Gunshot
2010,9/5/10,F,Strangulation
2010,9/6/10,M,Gunshot
2010,9/6/10,M,Gunshot
2010,9/15/10,M,Gunshot
2010,9/28/10,F,Gunshot
2010,9/28/10,M,
2010,9/28/10,M,
2010,9/28/10,M,
2010,10/7/10,M,Gunshot
2010,10/23/10,M,Gunshot
2010,10/23/10,F,Gunshot
2010,10/23/10,M,Gunshot
2010,10/25/10,M,Gunshot
2010,10/31/10,M,Gunshot
2010,10/31/10,M,Gunshot
2010,11/2/10,M,Stabbing
2010,11/4/10,M,Gunshot
2010,11/6/10,M,Stabbing
2010,11/7/10,M,Gunshot
2010,11/9/10,M,Gunshot
2010,11/11/10,M,Gunshot
2010,11/18/10,M,Gunshot
2010,11/21/10,M,Stabbing
2010,11/21/10,M,Gunshot
2010,11/21/10,M,
2010,11/29/10,M,Gunshot
2010,12/3/10,M,Gunshot
2010,12/16/10,M,Gunshot
2011,1/4/11,M,Gunshot
2011,2/8/11,F,Gunshot
2011,2/25/11,M,Stabbing
2011,3/2/11,M,Gunshot
2011,3/14/11,M,Gunshot
2011,3/24/11,M,Gunshot
2011,3/26/11,M,Gunshot
2011,4/20/11,M,Gunshot
2011,5/7/11,M,Gunshot
2011,5/15/11,M,Stabbing
2011,5/23/11,M,
2011,5/29/11,M,Gunshot
2011,5/29/11,M,Gunshot
2011,5/31/11,M,Gunshot
2011,5/31/11,M,Gunshot
2011,6/5/11,M,Gunshot
2011,6/17/11,M,Gunshot
2011,6/20/11,M,Gunshot
2011,6/25/11,M,Gunshot
2011,6/26/11,M,Gunshot
2011,6/29/11,M,Gunshot
2011,7/4/11,M,Gunshot
2011,7/4/11,M,Gunshot
2011,7/5/11,M,Gunshot
2011,7/5/11,M,Gunshot
2011,7/7/11,M,Gunshot
2011,7/24/11,F,Gunshot
2011,7/26/11,F,Gunshot
2011,7/26/11,M,Gunshot
2011,7/31/11,M,Gunshot
2011,7/31/11,M,Gunshot
2011,8/6/11,M,Gunshot
2011,8/7/11,F,Gunshot
2011,8/7/11,M,Gunshot
2011,8/10/11,M,Gunshot
2011,8/22/11,M,Gunshot
2011,8/22/11,M,Gunshot
2011,8/23/11,M,Stabbing
2011,8/26/11,M,Gunshot
2011,8/27/11,F,Trauma
2011,8/27/11,M,Gunshot
2011,8/31/11,M,Gunshot
2011,9/3/11,M,Gunshot
2011,9/14/11,M,Stabbing
2011,9/21/11,F,Trauma
2011,9/22/11,M,Gunshot
2011,9/25/11,M,Gunshot
2011,10/3/11,F,Gunshot
2011,10/5/11,M,Gunshot
2011,10/8/11,M,Gunshot
2011,10/11/11,M,Gunshot
2011,10/16/11,M,Stabbing
2011,10/24/11,M,Gunshot
2011,11/12/11,M,Gunshot
2011,11/14/11,F,Gunshot
2011,11/14/11,F,Gunshot
2011,11/21/11,F,Strangulation
2011,11/29/11,M,Gunshot
2011,12/3/11,F,Trauma
